L,K,P,G,Z,S,E,X,R,I,V,A,W,F,Y,M,C,T,N,U,D,H,Q,ID,Label,IsDNA,IsRNA
90,126,44,71,0,85,75,0,33,48,68,67,13,30,32,25,14,42,36,0,62,19,34,15,DNA,IsDNA,NotRNA
9,8,6,4,0,6,14,0,7,7,4,8,2,2,3,3,1,6,4,0,5,3,3,16,DNA,IsDNA,NotRNA
87,71,45,83,0,87,81,0,55,63,80,80,10,41,43,23,12,64,38,0,61,20,27,17,DNA,IsDNA,NotRNA
7,6,9,23,0,16,14,0,14,4,12,16,3,8,1,2,1,12,5,0,9,0,3,18,DNA,IsDNA,NotRNA
12,14,3,15,0,8,5,0,9,9,7,18,0,1,2,1,0,8,1,0,4,6,5,19,DNA,IsDNA,NotRNA
12,14,3,15,0,9,5,0,9,9,8,16,0,1,2,1,0,8,1,0,4,6,5,20,DNA,IsDNA,NotRNA
27,10,4,9,0,12,22,0,21,14,6,17,1,11,3,6,0,6,11,0,6,2,8,21,DNA,IsDNA,NotRNA
53,27,64,57,0,53,34,0,29,31,42,38,2,28,15,14,9,51,42,0,35,13,59,22,DNA,IsDNA,NotRNA
19,29,12,19,0,17,21,0,14,24,18,12,2,17,12,12,2,21,11,0,21,6,9,23,DNA,IsDNA,NotRNA
38,43,17,29,0,43,45,0,27,27,23,21,8,18,13,16,7,32,29,0,42,13,20,24,DNA,IsDNA,NotRNA
10,11,2,4,0,13,17,0,7,7,9,10,0,6,3,5,1,3,8,0,5,2,4,25,DNA,IsDNA,NotRNA
12,8,15,6,0,11,3,0,8,12,5,9,3,6,6,4,4,8,7,0,12,3,5,26,DNA,IsDNA,NotRNA
11,8,4,10,0,10,11,0,11,5,7,13,0,1,0,3,0,2,3,0,1,2,5,27,DNA,IsDNA,NotRNA
65,40,15,32,0,49,47,0,30,20,29,57,11,34,15,9,14,33,32,0,31,15,27,28,DNA,IsDNA,NotRNA
3,22,9,18,0,14,14,0,7,9,6,18,1,4,3,4,0,7,6,0,11,1,5,29,DNA,IsDNA,NotRNA
45,35,56,60,0,45,24,0,32,29,35,61,16,30,29,13,6,69,46,0,43,20,40,30,DNA,IsDNA,NotRNA
42,37,61,64,0,38,27,0,32,31,41,54,15,33,29,14,4,62,56,0,40,15,32,31,DNA,IsDNA,NotRNA
59,24,54,57,0,59,28,0,47,9,31,34,12,18,14,5,23,20,7,0,24,15,19,32,DNA,IsDNA,NotRNA
6,2,1,7,0,7,5,0,5,4,3,8,0,2,0,3,0,3,6,0,1,1,8,33,DNA,IsDNA,NotRNA
34,17,49,43,0,42,17,0,18,16,23,34,3,12,11,24,6,18,18,0,35,30,27,34,DNA,IsDNA,NotRNA
10,6,3,1,0,4,7,0,3,5,5,5,0,1,1,3,1,1,5,0,6,2,3,35,DNA,IsDNA,NotRNA
9,2,6,6,0,6,5,0,8,4,5,7,0,3,1,2,0,5,2,0,7,0,1,36,DNA,IsDNA,NotRNA
37,48,20,30,0,48,17,0,28,27,24,32,11,14,14,8,4,40,19,0,32,15,28,37,DNA,IsDNA,NotRNA
24,3,9,16,0,10,13,0,26,9,18,28,2,5,5,5,2,17,0,0,10,6,7,38,DNA,IsDNA,NotRNA
20,7,14,15,0,9,24,0,22,11,22,11,3,9,5,12,1,12,5,0,13,7,7,39,DNA,IsDNA,NotRNA
51,44,51,30,0,57,51,0,30,29,33,42,12,13,14,10,10,37,31,0,30,26,35,40,DNA,IsDNA,NotRNA
13,16,5,7,0,10,7,0,17,7,6,16,0,5,2,1,0,9,1,0,4,2,8,41,DNA,IsDNA,NotRNA
12,13,6,7,0,5,7,0,18,7,6,18,0,4,3,3,2,10,1,0,4,2,8,42,DNA,IsDNA,NotRNA
12,13,6,7,0,6,7,0,18,7,6,18,0,4,3,3,1,10,1,0,4,2,8,43,DNA,IsDNA,NotRNA
12,13,6,8,0,6,7,0,18,8,5,18,0,4,3,2,1,10,1,0,4,2,8,44,DNA,IsDNA,NotRNA
13,11,6,7,0,6,7,0,18,7,6,17,0,3,3,2,2,11,2,0,4,2,8,45,DNA,IsDNA,NotRNA
12,14,6,6,0,4,7,0,18,7,7,18,0,4,3,3,2,10,1,0,4,2,8,46,DNA,IsDNA,NotRNA
39,19,17,8,0,11,19,0,24,16,23,28,5,8,8,2,2,12,15,0,14,17,22,47,DNA,IsDNA,NotRNA
20,32,23,54,0,23,35,0,14,20,25,25,2,11,6,8,8,24,8,0,31,30,15,48,DNA,IsDNA,NotRNA
37,18,23,25,0,25,26,0,21,16,19,31,6,16,9,6,12,22,17,0,22,6,13,49,DNA,IsDNA,NotRNA
46,27,44,33,0,44,27,0,24,22,19,21,1,16,12,14,18,31,15,0,20,8,20,50,DNA,IsDNA,NotRNA
9,6,1,6,0,6,4,0,3,6,6,6,1,1,2,2,1,7,2,0,5,0,4,51,DNA,IsDNA,NotRNA
16,10,4,5,0,17,20,0,8,11,8,22,1,3,1,3,4,5,9,0,9,2,18,52,DNA,IsDNA,NotRNA
54,60,17,31,0,49,48,0,24,41,38,49,7,24,21,22,18,32,32,0,32,15,35,53,DNA,IsDNA,NotRNA
7,2,0,6,0,6,7,0,8,7,6,10,0,1,0,2,0,4,5,0,3,1,3,54,DNA,IsDNA,NotRNA
43,32,38,43,0,35,42,0,19,31,42,70,3,16,11,20,3,29,13,0,23,7,39,55,DNA,IsDNA,NotRNA
42,46,29,30,0,47,44,0,25,30,52,35,17,29,19,9,13,34,35,0,32,11,31,56,DNA,IsDNA,NotRNA
25,15,16,23,0,17,28,0,25,21,24,37,4,11,12,16,4,16,14,0,15,8,10,57,DNA,IsDNA,NotRNA
124,119,41,51,0,69,108,0,61,63,47,58,13,47,39,20,9,49,61,0,82,22,46,58,DNA,IsDNA,NotRNA
10,5,6,7,0,10,2,0,6,15,8,5,1,5,4,3,9,15,12,0,1,3,6,59,DNA,IsDNA,NotRNA
15,16,9,8,0,14,8,0,12,21,13,19,0,9,9,5,3,8,11,0,8,4,6,60,DNA,IsDNA,NotRNA
10,14,3,3,0,10,11,0,8,12,5,4,1,5,2,4,2,6,14,0,3,4,5,61,DNA,IsDNA,NotRNA
27,21,16,37,0,48,29,0,22,21,19,41,2,10,11,14,5,23,23,0,17,14,30,62,DNA,IsDNA,NotRNA
21,31,7,16,0,14,29,0,13,24,18,12,3,21,16,8,6,5,17,0,20,3,8,63,DNA,IsDNA,NotRNA
38,21,71,31,0,36,38,0,28,8,22,30,4,25,25,15,11,15,11,0,29,17,35,64,DNA,IsDNA,NotRNA
27,22,54,23,0,39,37,0,29,13,20,22,4,25,25,19,11,15,19,0,27,16,30,65,DNA,IsDNA,NotRNA
77,44,58,31,0,60,58,0,35,29,45,53,7,15,19,20,6,35,42,0,32,22,75,66,DNA,IsDNA,NotRNA
36,31,32,35,0,43,33,0,25,21,34,30,6,19,17,14,13,33,21,0,24,10,23,67,DNA,IsDNA,NotRNA
84,159,49,61,0,132,91,0,49,55,52,78,8,27,30,28,9,57,43,0,73,21,42,68,DNA,IsDNA,NotRNA
71,63,32,36,0,47,57,0,27,30,34,38,12,36,26,23,15,31,34,0,48,19,29,69,DNA,IsDNA,NotRNA
22,14,39,35,0,45,15,0,26,19,29,26,2,8,17,6,3,26,12,0,19,9,19,70,DNA,IsDNA,NotRNA
23,36,8,12,0,24,20,0,11,26,19,16,6,12,19,9,3,11,17,0,23,6,4,71,DNA,IsDNA,NotRNA
59,27,53,29,0,70,32,0,19,17,33,33,3,17,8,12,5,25,15,0,36,13,23,72,DNA,IsDNA,NotRNA
45,22,24,51,0,52,27,0,37,22,24,42,2,18,12,14,19,8,22,0,27,11,29,73,DNA,IsDNA,NotRNA
33,15,42,46,0,31,27,0,32,20,33,35,8,17,5,7,19,21,15,0,18,9,16,74,DNA,IsDNA,NotRNA
172,38,101,121,0,67,49,0,72,44,131,179,5,14,4,12,26,78,27,0,59,47,127,75,DNA,IsDNA,NotRNA
56,35,20,30,0,35,42,0,36,21,32,32,7,26,11,16,8,25,16,0,30,11,21,76,DNA,IsDNA,NotRNA
31,10,17,20,0,12,16,0,23,16,12,22,4,14,14,8,3,19,5,0,18,7,18,77,DNA,IsDNA,NotRNA
6,8,3,15,0,16,13,0,11,2,6,16,2,4,6,4,0,3,3,0,6,3,4,78,DNA,IsDNA,NotRNA
31,6,18,21,0,8,16,0,24,2,13,25,3,9,7,3,4,10,3,0,5,8,3,79,DNA,IsDNA,NotRNA
86,50,52,53,0,67,50,0,38,19,36,47,10,40,24,15,26,37,30,0,44,19,39,80,DNA,IsDNA,NotRNA
47,32,52,17,0,60,22,0,9,23,21,21,4,16,8,7,2,29,21,0,18,5,17,81,DNA,IsDNA,NotRNA
48,26,35,32,0,45,28,0,25,20,24,29,2,17,9,17,13,24,18,0,21,15,14,82,DNA,IsDNA,NotRNA
89,62,47,31,0,97,59,0,45,64,46,48,4,51,28,14,20,48,49,0,58,21,43,83,DNA,IsDNA,NotRNA
50,35,14,23,0,47,31,0,35,26,22,25,12,21,14,13,7,21,38,0,33,13,24,84,DNA,IsDNA,NotRNA
78,24,20,51,0,35,59,0,60,31,41,66,13,22,23,24,6,33,31,0,38,18,47,85,DNA,IsDNA,NotRNA
25,26,18,14,0,32,23,0,14,13,30,19,8,9,15,11,11,28,17,0,13,19,23,86,DNA,IsDNA,NotRNA
19,9,1,3,0,9,14,0,9,11,10,5,1,1,5,2,2,4,10,0,6,0,9,87,DNA,IsDNA,NotRNA
41,31,14,26,0,23,33,0,19,42,27,17,3,24,18,11,6,27,21,0,29,8,13,88,DNA,IsDNA,NotRNA
62,47,19,37,0,105,26,0,22,24,20,14,5,23,20,37,11,20,219,0,36,30,36,89,DNA,IsDNA,NotRNA
18,13,10,9,0,19,18,0,19,18,10,8,2,9,7,7,4,10,10,0,9,3,11,90,DNA,IsDNA,NotRNA
25,23,22,29,0,32,30,0,21,21,9,35,1,7,14,18,5,13,18,0,16,9,28,91,DNA,IsDNA,NotRNA
10,14,1,3,0,10,20,0,9,6,6,14,0,5,3,3,3,8,6,0,5,2,10,92,DNA,IsDNA,NotRNA
32,20,45,23,0,38,30,0,26,8,18,24,4,11,9,12,10,22,14,0,20,12,15,93,DNA,IsDNA,NotRNA
35,24,38,24,0,35,32,0,24,9,20,23,3,13,12,10,12,23,8,0,17,11,14,94,DNA,IsDNA,NotRNA
17,10,1,6,0,9,12,0,7,7,4,7,0,5,6,6,0,12,7,0,7,3,13,95,DNA,IsDNA,NotRNA
14,6,1,6,0,3,6,0,5,0,11,8,0,4,0,2,0,1,0,0,7,2,5,96,DNA,IsDNA,NotRNA
35,65,50,39,0,34,78,0,45,22,48,41,1,17,18,23,27,47,24,0,40,33,40,97,DNA,IsDNA,NotRNA
44,46,51,34,0,42,58,0,71,22,23,40,7,15,16,13,33,22,14,0,46,19,40,98,DNA,IsDNA,NotRNA
134,25,48,62,0,22,90,0,82,14,52,96,2,31,28,14,1,35,7,0,35,11,22,99,DNA,IsDNA,NotRNA
78,54,39,31,0,95,70,0,44,53,54,51,11,34,26,23,14,60,60,0,41,15,33,100,DNA,IsDNA,NotRNA
29,26,30,28,0,45,30,0,20,24,21,37,6,18,18,10,5,20,13,0,17,12,25,101,DNA,IsDNA,NotRNA
14,8,4,5,0,16,9,0,5,6,8,16,0,2,3,5,0,3,3,0,3,3,5,102,DNA,IsDNA,NotRNA
19,9,7,6,0,6,16,0,10,5,13,18,0,5,3,5,9,9,3,0,8,9,11,103,DNA,IsDNA,NotRNA
36,23,42,24,0,42,26,0,22,12,16,22,10,17,18,9,12,17,23,0,28,13,24,104,DNA,IsDNA,NotRNA
39,18,16,20,0,28,38,0,21,19,18,23,5,13,10,11,12,20,18,0,17,7,9,105,DNA,IsDNA,NotRNA
27,9,37,22,0,31,19,0,25,7,8,37,1,8,9,5,9,13,9,0,25,8,9,106,DNA,IsDNA,NotRNA
43,53,4,19,0,16,49,0,25,32,26,21,1,23,14,5,3,13,17,0,19,7,9,107,DNA,IsDNA,NotRNA
5,7,2,4,0,2,7,0,8,10,2,11,0,1,0,2,0,2,0,0,5,1,0,108,DNA,IsDNA,NotRNA
37,15,18,16,0,19,24,0,18,25,18,20,1,11,13,8,1,15,12,0,10,9,14,109,DNA,IsDNA,NotRNA
30,15,4,7,0,9,14,0,5,5,3,5,1,2,6,6,1,11,4,0,7,3,9,110,DNA,IsDNA,NotRNA
28,26,22,9,0,38,23,0,24,28,17,31,2,8,4,8,6,17,23,0,22,10,30,111,DNA,IsDNA,NotRNA
19,16,33,26,0,22,14,0,16,6,12,33,4,8,15,4,7,14,8,0,9,5,13,112,DNA,IsDNA,NotRNA
142,58,51,56,0,93,82,0,73,53,71,64,10,33,24,23,23,48,38,0,55,26,39,113,DNA,IsDNA,NotRNA
111,107,97,66,0,130,86,0,54,45,49,74,6,36,34,19,20,48,46,0,55,47,58,114,DNA,IsDNA,NotRNA
27,28,28,26,0,36,27,0,22,24,25,31,5,21,14,13,7,19,17,0,20,13,23,115,DNA,IsDNA,NotRNA
16,9,19,21,0,12,11,0,11,11,10,34,3,6,11,9,1,17,5,0,14,14,31,116,DNA,IsDNA,NotRNA
3,8,2,4,0,3,3,0,3,5,3,8,0,3,3,2,0,6,3,0,3,1,3,117,DNA,IsDNA,NotRNA
52,22,32,36,0,45,39,0,30,25,17,23,4,19,20,16,18,17,18,0,23,14,25,118,DNA,IsDNA,NotRNA
27,15,54,42,0,19,21,0,21,8,11,49,0,10,8,6,4,9,9,0,15,14,16,119,DNA,IsDNA,NotRNA
105,38,70,93,0,66,63,0,52,22,50,79,2,22,24,17,12,47,19,0,47,29,43,120,DNA,IsDNA,NotRNA
11,9,0,3,0,8,8,0,4,8,5,1,0,4,2,4,0,3,3,0,4,1,1,121,DNA,IsDNA,NotRNA
68,32,30,51,0,30,65,0,46,31,67,68,4,26,9,10,8,35,20,0,34,16,21,122,DNA,IsDNA,NotRNA
30,45,12,14,0,17,25,0,15,21,27,24,0,19,5,10,2,24,16,0,13,5,19,123,DNA,IsDNA,NotRNA
53,39,40,32,0,75,44,0,22,56,38,29,2,18,21,11,11,48,36,0,47,16,34,124,DNA,IsDNA,NotRNA
20,9,5,7,0,10,11,0,11,16,7,7,2,0,1,1,2,10,4,0,7,3,10,125,DNA,IsDNA,NotRNA
16,16,5,15,0,12,16,0,15,27,14,13,0,7,12,4,1,16,8,0,12,2,9,126,DNA,IsDNA,NotRNA
73,52,75,65,0,149,55,0,37,42,63,47,6,34,31,25,27,49,52,0,34,20,48,127,DNA,IsDNA,NotRNA
38,18,41,33,0,29,22,0,14,6,14,62,0,9,5,4,2,16,6,0,10,3,15,128,DNA,IsDNA,NotRNA
35,21,48,36,0,61,12,0,22,7,17,26,5,10,14,12,12,32,17,0,13,31,12,129,DNA,IsDNA,NotRNA
11,22,4,19,0,8,11,0,7,13,12,4,2,4,8,2,3,10,10,0,7,9,8,130,DNA,IsDNA,NotRNA
25,20,7,9,0,10,14,0,12,22,20,14,1,9,6,9,2,10,17,0,22,7,11,131,DNA,IsDNA,NotRNA
12,7,2,5,0,4,4,0,6,1,10,5,0,2,4,6,0,6,8,0,6,0,10,132,DNA,IsDNA,NotRNA
37,24,41,43,0,60,27,0,31,30,43,43,3,26,15,19,11,37,40,0,18,15,28,133,DNA,IsDNA,NotRNA
53,57,17,49,0,33,46,0,27,54,34,27,8,26,21,11,2,30,32,0,26,12,18,134,DNA,IsDNA,NotRNA
89,33,149,117,0,128,63,0,66,17,44,65,5,24,34,21,31,58,35,0,39,40,48,135,DNA,IsDNA,NotRNA
14,17,7,3,0,5,2,0,5,5,8,5,1,10,2,3,9,10,6,0,8,4,4,136,DNA,IsDNA,NotRNA
28,15,41,20,0,21,17,0,25,5,15,52,2,10,15,2,7,10,11,0,10,1,17,137,DNA,IsDNA,NotRNA
110,122,77,108,0,59,107,0,69,100,96,96,37,35,39,29,20,88,58,0,63,27,95,138,DNA,IsDNA,NotRNA
60,36,27,23,0,50,33,0,26,36,31,18,12,25,19,8,8,35,27,0,29,16,36,139,DNA,IsDNA,NotRNA
52,39,25,21,0,39,35,0,19,35,24,27,1,27,18,17,10,26,16,0,36,14,24,140,DNA,IsDNA,NotRNA
39,20,32,26,0,87,41,0,46,28,29,25,4,21,23,12,6,49,29,0,38,13,55,141,DNA,IsDNA,NotRNA
29,20,9,18,0,13,23,0,15,16,18,18,0,13,4,5,2,5,11,0,10,6,3,142,DNA,IsDNA,NotRNA
72,74,47,45,0,98,53,0,45,43,45,48,5,32,19,10,20,41,42,0,56,16,35,143,DNA,IsDNA,NotRNA
4,43,13,11,0,11,36,0,8,4,5,19,2,9,7,6,3,5,4,0,20,3,2,144,DNA,IsDNA,NotRNA
9,12,2,5,0,3,9,0,3,10,8,6,1,1,6,1,0,6,2,0,2,1,6,145,DNA,IsDNA,NotRNA
26,20,2,12,0,4,14,0,8,11,15,14,1,7,7,7,1,8,8,0,12,6,12,146,DNA,IsDNA,NotRNA
18,21,22,10,0,19,14,0,17,17,12,17,8,11,3,4,3,15,16,0,13,4,5,147,DNA,IsDNA,NotRNA
19,17,9,16,0,8,17,0,9,11,12,10,6,11,9,2,1,9,12,0,12,5,7,148,DNA,IsDNA,NotRNA
89,32,87,66,0,58,48,0,76,6,28,44,12,8,1,12,31,24,11,0,29,15,17,149,DNA,IsDNA,NotRNA
36,12,62,39,0,34,18,0,31,9,8,31,3,10,8,4,8,19,6,0,12,3,12,150,DNA,IsDNA,NotRNA
40,21,58,34,0,67,22,0,24,17,26,25,2,10,11,19,3,34,29,0,22,8,35,151,DNA,IsDNA,NotRNA
32,25,11,23,0,28,25,0,34,29,10,33,4,7,14,8,4,21,9,0,21,10,8,152,DNA,IsDNA,NotRNA
22,20,23,12,0,40,20,0,18,11,21,26,2,5,4,5,1,22,19,0,18,13,10,153,DNA,IsDNA,NotRNA
34,19,27,21,0,37,26,0,17,15,15,26,11,8,10,8,5,10,5,0,16,9,16,154,DNA,IsDNA,NotRNA
45,9,33,21,0,29,14,0,18,9,12,30,3,7,6,3,7,26,7,0,11,8,16,155,DNA,IsDNA,NotRNA
50,61,27,31,0,61,50,0,35,22,30,25,10,24,13,8,14,34,25,0,31,12,17,156,DNA,IsDNA,NotRNA
24,22,44,30,0,22,20,0,23,6,23,52,4,20,11,12,7,20,14,0,22,11,11,157,DNA,IsDNA,NotRNA
24,14,56,23,0,38,10,0,18,6,17,51,2,6,17,17,3,23,9,0,12,16,14,158,DNA,IsDNA,NotRNA
14,14,16,16,0,21,10,0,12,7,8,22,1,7,0,5,13,8,10,0,3,6,5,159,DNA,IsDNA,NotRNA
12,11,10,15,0,18,14,0,16,13,12,15,4,13,12,2,3,10,10,0,11,9,4,160,DNA,IsDNA,NotRNA
24,21,12,6,0,9,20,0,8,26,8,15,8,13,7,5,0,8,10,0,11,10,16,161,DNA,IsDNA,NotRNA
28,12,13,11,0,19,24,0,22,10,19,21,3,11,13,4,1,15,6,0,16,8,13,162,DNA,IsDNA,NotRNA
23,12,11,16,0,8,19,0,11,12,17,24,0,8,4,6,1,9,4,0,7,3,8,163,DNA,IsDNA,NotRNA
18,4,10,19,0,7,9,0,11,11,7,17,2,5,6,2,1,12,5,0,9,5,5,164,DNA,IsDNA,NotRNA
64,81,38,49,0,28,86,0,50,64,55,50,10,29,45,10,4,26,17,0,40,11,14,165,DNA,IsDNA,NotRNA
63,77,35,53,0,22,78,0,58,53,59,54,10,32,45,10,5,34,15,0,47,12,13,166,DNA,IsDNA,NotRNA
67,82,36,50,0,25,88,0,45,71,52,44,11,27,46,10,4,31,19,0,38,14,15,167,DNA,IsDNA,NotRNA
21,13,5,14,0,15,8,0,11,20,12,13,0,11,8,7,1,14,9,0,18,5,7,168,DNA,IsDNA,NotRNA
228,108,176,206,0,207,182,0,142,95,225,153,26,88,78,56,234,152,98,0,157,69,133,169,DNA,IsDNA,NotRNA
36,24,53,26,0,46,22,0,23,15,21,30,9,12,24,17,5,34,22,0,26,18,23,170,DNA,IsDNA,NotRNA
70,10,13,15,0,14,20,0,23,8,16,37,7,9,5,5,5,16,17,0,15,9,29,171,DNA,IsDNA,NotRNA
9,21,10,9,0,17,12,0,9,17,9,12,1,11,15,3,1,10,11,0,11,6,12,172,DNA,IsDNA,NotRNA
34,39,15,19,0,13,24,0,18,39,28,26,0,10,15,7,1,12,25,0,19,3,7,173,DNA,IsDNA,NotRNA
61,52,30,60,0,25,63,0,38,36,44,60,18,25,25,14,10,32,22,0,40,24,25,174,DNA,IsDNA,NotRNA
23,16,14,20,0,18,15,0,18,7,11,33,5,14,8,5,8,13,13,0,13,4,10,175,DNA,IsDNA,NotRNA
9,13,6,9,0,8,12,0,7,8,11,9,0,6,3,4,4,5,5,0,3,5,4,176,DNA,IsDNA,NotRNA
22,7,8,13,0,11,21,0,21,16,24,14,1,3,2,7,1,17,5,0,20,6,7,177,DNA,IsDNA,NotRNA
24,23,12,8,0,20,28,0,12,27,12,15,0,12,22,8,1,16,8,0,14,4,12,178,DNA,IsDNA,NotRNA
39,41,18,34,0,19,51,0,25,36,25,19,6,23,20,5,0,12,12,0,24,10,7,179,DNA,IsDNA,NotRNA
38,29,51,17,0,63,29,0,23,16,39,41,2,10,2,10,5,41,17,0,22,16,34,180,DNA,IsDNA,NotRNA
3,5,2,4,0,4,6,0,6,2,5,2,1,2,1,4,0,0,3,0,1,0,2,181,DNA,IsDNA,NotRNA
44,65,22,41,0,24,36,0,20,45,32,26,11,30,38,16,7,36,17,0,42,10,13,182,DNA,IsDNA,NotRNA
25,36,12,13,0,22,21,0,13,35,22,21,5,22,14,11,0,14,28,0,22,5,10,183,DNA,IsDNA,NotRNA
17,18,10,9,0,12,13,0,11,20,15,8,2,10,9,5,0,18,15,0,19,5,7,184,DNA,IsDNA,NotRNA
29,23,8,16,0,13,16,0,12,17,14,7,2,10,7,6,1,13,17,0,13,6,8,185,DNA,IsDNA,NotRNA
13,14,3,4,0,11,14,0,4,11,7,2,2,4,4,4,0,7,11,0,4,5,4,186,DNA,IsDNA,NotRNA
6,7,0,2,0,5,6,0,2,2,2,3,0,0,1,4,0,2,2,0,0,0,1,187,DNA,IsDNA,NotRNA
53,38,42,45,0,78,27,0,27,15,36,60,1,17,16,14,9,41,40,0,38,19,27,188,DNA,IsDNA,NotRNA
55,36,30,16,0,60,48,0,18,31,37,22,3,17,10,9,3,25,32,0,40,10,34,189,DNA,IsDNA,NotRNA
27,7,40,23,0,27,13,0,33,8,22,36,7,10,5,5,8,20,10,0,17,10,6,190,DNA,IsDNA,NotRNA
35,19,15,18,0,28,25,0,25,16,22,33,1,8,5,5,3,21,10,0,18,4,12,191,DNA,IsDNA,NotRNA
77,33,51,89,0,87,42,0,35,42,46,66,4,18,21,31,23,50,42,0,32,22,67,192,DNA,IsDNA,NotRNA
13,12,7,11,0,5,14,0,10,5,12,13,2,11,4,3,1,4,2,0,4,0,3,193,DNA,IsDNA,NotRNA
18,20,9,13,0,15,21,0,4,11,13,13,2,4,4,9,1,9,8,0,6,3,13,194,DNA,IsDNA,NotRNA
43,24,12,15,0,17,21,0,25,15,19,17,4,11,16,7,2,21,6,0,13,15,17,195,DNA,IsDNA,NotRNA
43,28,36,40,0,43,30,0,24,29,32,35,7,21,19,20,13,27,35,0,26,19,67,196,DNA,IsDNA,NotRNA
20,23,4,7,0,14,17,0,6,12,10,6,1,5,5,5,0,8,11,0,13,0,13,197,DNA,IsDNA,NotRNA
15,14,8,6,0,13,14,0,10,11,12,19,1,5,6,7,2,14,5,0,7,5,7,198,DNA,IsDNA,NotRNA
76,44,93,37,0,92,62,0,46,36,33,43,10,19,9,15,8,36,28,0,26,14,36,199,DNA,IsDNA,NotRNA
26,8,7,16,0,17,10,0,14,6,8,15,3,6,8,7,5,7,3,0,14,4,10,200,DNA,IsDNA,NotRNA
15,15,1,3,0,7,15,0,13,7,10,13,4,2,3,5,0,6,7,0,8,6,11,201,DNA,IsDNA,NotRNA
21,15,5,13,0,11,23,0,19,22,7,21,1,10,13,9,3,12,6,0,24,8,14,202,DNA,IsDNA,NotRNA
124,71,60,100,0,56,108,0,106,72,106,122,10,37,34,30,12,71,41,0,83,23,51,203,DNA,IsDNA,NotRNA
30,15,48,40,0,35,18,0,11,7,13,30,4,10,20,10,3,18,13,0,8,6,11,204,DNA,IsDNA,NotRNA
23,13,6,16,0,9,11,0,21,12,9,16,2,5,3,6,2,10,7,0,11,4,7,205,DNA,IsDNA,NotRNA
35,15,19,27,0,25,27,0,18,22,33,26,1,8,9,3,1,25,11,0,30,7,8,206,DNA,IsDNA,NotRNA
12,23,6,15,0,9,12,0,10,16,13,7,2,7,4,3,8,10,14,0,13,4,2,207,DNA,IsDNA,NotRNA
21,19,3,12,0,7,13,0,6,3,4,7,1,6,6,5,4,5,12,0,8,5,10,208,DNA,IsDNA,NotRNA
45,19,16,26,0,26,33,0,24,28,26,32,5,18,13,5,5,18,15,0,19,19,12,209,DNA,IsDNA,NotRNA
36,29,16,22,0,29,28,0,12,29,19,23,1,11,12,14,2,19,16,0,18,11,15,210,DNA,IsDNA,NotRNA
11,8,15,20,0,9,17,0,19,9,11,21,3,5,6,1,0,5,3,0,8,5,12,211,DNA,IsDNA,NotRNA
24,24,2,8,0,7,24,0,12,9,13,12,2,15,8,8,0,8,5,0,13,2,4,212,DNA,IsDNA,NotRNA
29,18,20,20,0,50,33,0,32,19,18,30,5,10,12,10,3,27,23,0,27,12,22,213,DNA,IsDNA,NotRNA
28,8,6,21,0,12,14,0,20,12,17,23,1,6,6,8,1,14,3,0,12,8,12,214,DNA,IsDNA,NotRNA
14,8,4,3,0,9,9,0,5,9,5,9,3,2,4,3,3,7,3,0,5,2,5,215,DNA,IsDNA,NotRNA
