,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,TYPE
16,8,0,1,5,14,2,4,3,7,0,8,9,3,4,0,6,3,7,6,6,0,4,2,0,3,0,DNA
17,80,0,12,61,81,41,83,20,63,0,71,87,23,38,0,45,27,55,87,64,0,80,10,0,43,0,DNA
18,16,0,1,9,14,8,23,0,4,0,6,7,2,5,0,9,3,14,16,12,0,12,3,0,1,0,DNA
19,18,0,0,4,5,1,15,6,9,0,14,12,1,1,0,3,5,9,8,8,0,7,0,0,2,0,DNA
20,16,0,0,4,5,1,15,6,9,0,14,12,1,1,0,3,5,9,9,8,0,8,0,0,2,0,DNA
21,17,0,0,6,22,11,9,2,14,0,10,27,6,11,0,4,8,21,12,6,0,6,1,0,3,0,DNA
22,38,0,9,35,34,28,57,13,31,0,27,53,14,42,0,64,59,29,53,51,0,42,2,0,15,0,DNA
23,12,0,2,21,21,17,19,6,24,0,29,19,12,11,0,12,9,14,17,21,0,18,2,0,12,0,DNA
24,21,0,7,42,45,18,29,13,27,0,43,38,16,29,0,17,20,27,43,32,0,23,8,0,13,0,DNA
25,10,0,1,5,17,6,4,2,7,0,11,10,5,8,0,2,4,7,13,3,0,9,0,0,3,0,DNA
26,9,0,4,12,3,6,6,3,12,0,8,12,4,7,0,15,5,8,11,8,0,5,3,0,6,0,DNA
27,13,0,0,1,11,1,10,2,5,0,8,11,3,3,0,4,5,11,10,2,0,7,0,0,0,0,DNA
28,57,0,14,31,47,34,32,15,20,0,40,65,9,32,0,15,27,30,49,33,0,29,11,0,15,0,DNA
29,18,0,0,11,14,4,18,1,9,0,22,3,4,6,0,9,5,7,14,7,0,6,1,0,3,0,DNA
30,61,0,6,43,24,30,60,20,29,0,35,45,13,46,0,56,40,32,45,69,0,35,16,0,29,0,DNA
31,54,0,4,40,27,33,64,15,31,0,37,42,14,56,0,61,32,32,38,62,0,41,15,0,29,0,DNA
32,34,0,23,24,28,18,57,15,9,0,24,59,5,7,0,54,19,47,59,20,0,31,12,0,14,0,DNA
33,8,0,0,1,5,2,7,1,4,0,2,6,3,6,0,1,8,5,7,3,0,3,0,0,0,0,DNA
34,34,0,6,35,17,12,43,30,16,0,17,34,24,18,0,49,27,18,42,18,0,23,3,0,11,0,DNA
35,5,0,1,6,7,1,1,2,5,0,6,10,3,5,0,3,3,3,4,1,0,5,0,0,1,0,DNA
36,7,0,0,7,5,3,6,0,4,0,2,9,2,2,0,6,1,8,6,5,0,5,0,0,1,0,DNA
37,32,0,4,32,17,14,30,15,27,0,48,37,8,19,0,20,28,28,48,40,0,24,11,0,14,0,DNA
38,28,0,2,10,13,5,16,6,9,0,3,24,5,0,0,9,7,26,10,17,0,18,2,0,5,0,DNA
39,11,0,1,13,24,9,15,7,11,0,7,20,12,5,0,14,7,22,9,12,0,22,3,0,5,0,DNA
40,42,0,10,30,51,13,30,26,29,0,44,51,10,31,0,51,35,30,57,37,0,33,12,0,14,0,DNA
41,16,0,0,4,7,5,7,2,7,0,16,13,1,1,0,5,8,17,10,9,0,6,0,0,2,0,DNA
42,18,0,2,4,7,4,7,2,7,0,13,12,3,1,0,6,8,18,5,10,0,6,0,0,3,0,DNA
43,18,0,1,4,7,4,7,2,7,0,13,12,3,1,0,6,8,18,6,10,0,6,0,0,3,0,DNA
44,18,0,1,4,7,4,8,2,8,0,13,12,2,1,0,6,8,18,6,10,0,5,0,0,3,0,DNA
45,17,0,2,4,7,3,7,2,7,0,11,13,2,2,0,6,8,18,6,11,0,6,0,0,3,0,DNA
46,18,0,2,4,7,4,6,2,7,0,14,12,3,1,0,6,8,18,4,10,0,7,0,0,3,0,DNA
47,28,0,2,14,19,8,8,17,16,0,19,39,2,15,0,17,22,24,11,12,0,23,5,0,8,0,DNA
48,25,0,8,31,35,11,54,30,20,0,32,20,8,8,0,23,15,14,23,24,0,25,2,0,6,0,DNA
49,31,0,12,22,26,16,25,6,16,0,18,37,6,17,0,23,13,21,25,22,0,19,6,0,9,0,DNA
50,21,0,18,20,27,16,33,8,22,0,27,46,14,15,0,44,20,24,44,31,0,19,1,0,12,0,DNA
51,6,0,1,5,4,1,6,0,6,0,6,9,2,2,0,1,4,3,6,7,0,6,1,0,2,0,DNA
52,22,0,4,9,20,3,5,2,11,0,10,16,3,9,0,4,18,8,17,5,0,8,1,0,1,0,DNA
53,49,0,18,32,48,24,31,15,41,0,60,54,22,32,0,17,35,24,49,32,0,38,7,0,21,0,DNA
54,10,0,0,3,7,1,6,1,7,0,2,7,2,5,0,0,3,8,6,4,0,6,0,0,0,0,DNA
55,70,0,3,23,42,16,43,7,31,0,32,43,20,13,0,38,39,19,35,29,0,42,3,0,11,0,DNA
56,35,0,13,32,44,29,30,11,30,0,46,42,9,35,0,29,31,25,47,34,0,52,17,0,19,0,DNA
57,37,0,4,15,28,11,23,8,21,0,15,25,16,14,0,16,10,25,17,16,0,24,4,0,12,0,DNA
58,58,0,9,82,108,47,51,22,63,0,119,124,20,61,0,41,46,61,69,49,0,47,13,0,39,0,DNA
59,5,0,9,1,2,5,7,3,15,0,5,10,3,12,0,6,6,6,10,15,0,8,1,0,4,0,DNA
60,19,0,3,8,8,9,8,4,21,0,16,15,5,11,0,9,6,12,14,8,0,13,0,0,9,0,DNA
61,4,0,2,3,11,5,3,4,12,0,14,10,4,14,0,3,5,8,10,6,0,5,1,0,2,0,DNA
62,41,0,5,17,29,10,37,14,21,0,21,27,14,23,0,16,30,22,48,23,0,19,2,0,11,0,DNA
63,12,0,6,20,29,21,16,3,24,0,31,21,8,17,0,7,8,13,14,5,0,18,3,0,16,0,DNA
64,30,0,11,29,38,25,31,17,8,0,21,38,15,11,0,71,35,28,36,15,0,22,4,0,25,0,DNA
65,22,0,11,27,37,25,23,16,13,0,22,27,19,19,0,54,30,29,39,15,0,20,4,0,25,0,DNA
66,53,0,6,32,58,15,31,22,29,0,44,77,20,42,0,58,75,35,60,35,0,45,7,0,19,0,DNA
67,30,0,13,24,33,19,35,10,21,0,31,36,14,21,0,32,23,25,43,33,0,34,6,0,17,0,DNA
68,78,0,9,73,91,27,61,21,55,0,159,84,28,43,0,49,42,49,132,57,0,52,8,0,30,0,DNA
69,38,0,15,48,57,36,36,19,30,0,63,71,23,34,0,32,29,27,47,31,0,34,12,0,26,0,DNA
70,26,0,3,19,15,8,35,9,19,0,14,22,6,12,0,39,19,26,45,26,0,29,2,0,17,0,DNA
71,16,0,3,23,20,12,12,6,26,0,36,23,9,17,0,8,4,11,24,11,0,19,6,0,19,0,DNA
72,33,0,5,36,32,17,29,13,17,0,27,59,12,15,0,53,23,19,70,25,0,33,3,0,8,0,DNA
73,42,0,19,27,27,18,51,11,22,0,22,45,14,22,0,24,29,37,52,8,0,24,2,0,12,0,DNA
74,35,0,19,18,27,17,46,9,20,0,15,33,7,15,0,42,16,32,31,21,0,33,8,0,5,0,DNA
75,179,0,26,59,49,14,121,47,44,0,38,172,12,27,0,101,127,72,67,78,0,131,5,0,4,0,DNA
76,32,0,8,30,42,26,30,11,21,0,35,56,16,16,0,20,21,36,35,25,0,32,7,0,11,0,DNA
77,22,0,3,18,16,14,20,7,16,0,10,31,8,5,0,17,18,23,12,19,0,12,4,0,14,0,DNA
78,16,0,0,6,13,4,15,3,2,0,8,6,4,3,0,3,4,11,16,3,0,6,2,0,6,0,DNA
79,25,0,4,5,16,9,21,8,2,0,6,31,3,3,0,18,3,24,8,10,0,13,3,0,7,0,DNA
80,47,0,26,44,50,40,53,19,19,0,50,86,15,30,0,52,39,38,67,37,0,36,10,0,24,0,DNA
81,21,0,2,18,22,16,17,5,23,0,32,47,7,21,0,52,17,9,60,29,0,21,4,0,8,0,DNA
82,29,0,13,21,28,17,32,15,20,0,26,48,17,18,0,35,14,25,45,24,0,24,2,0,9,0,DNA
83,48,0,20,58,59,51,31,21,64,0,62,89,14,49,0,47,43,45,97,48,0,46,4,0,28,0,DNA
84,25,0,7,33,31,21,23,13,26,0,35,50,13,38,0,14,24,35,47,21,0,22,12,0,14,0,DNA
85,66,0,6,38,59,22,51,18,31,0,24,78,24,31,0,20,47,60,35,33,0,41,13,0,23,0,DNA
86,19,0,11,13,23,9,14,19,13,0,26,25,11,17,0,18,23,14,32,28,0,30,8,0,15,0,DNA
87,5,0,2,6,14,1,3,0,11,0,9,19,2,10,0,1,9,9,9,4,0,10,1,0,5,0,DNA
88,17,0,6,29,33,24,26,8,42,0,31,41,11,21,0,14,13,19,23,27,0,27,3,0,18,0,DNA
89,14,0,11,36,26,23,37,30,24,0,47,62,37,219,0,19,36,22,105,20,0,20,5,0,20,0,DNA
90,8,0,4,9,18,9,9,3,18,0,13,18,7,10,0,10,11,19,19,10,0,10,2,0,7,0,DNA
91,35,0,5,16,30,7,29,9,21,0,23,25,18,18,0,22,28,21,32,13,0,9,1,0,14,0,DNA
92,14,0,3,5,20,5,3,2,6,0,14,10,3,6,0,1,10,9,10,8,0,6,0,0,3,0,DNA
93,24,0,10,20,30,11,23,12,8,0,20,32,12,14,0,45,15,26,38,22,0,18,4,0,9,0,DNA
94,23,0,12,17,32,13,24,11,9,0,24,35,10,8,0,38,14,24,35,23,0,20,3,0,12,0,DNA
95,7,0,0,7,12,5,6,3,7,0,10,17,6,7,0,1,13,7,9,12,0,4,0,0,6,0,DNA
96,8,0,0,7,6,4,6,2,0,0,6,14,2,0,0,1,5,5,3,1,0,11,0,0,0,0,DNA
97,41,0,27,40,78,17,39,33,22,0,65,35,23,24,0,50,40,45,34,47,0,48,1,0,18,0,DNA
98,40,0,33,46,58,15,34,19,22,0,46,44,13,14,0,51,40,71,42,22,0,23,7,0,16,0,DNA
99,96,0,1,35,90,31,62,11,14,0,25,134,14,7,0,48,22,82,22,35,0,52,2,0,28,0,DNA
100,51,0,14,41,70,34,31,15,53,0,54,78,23,60,0,39,33,44,95,60,0,54,11,0,26,0,DNA
101,37,0,5,17,30,18,28,12,24,0,26,29,10,13,0,30,25,20,45,20,0,21,6,0,18,0,DNA
102,16,0,0,3,9,2,5,3,6,0,8,14,5,3,0,4,5,5,16,3,0,8,0,0,3,0,DNA
103,18,0,9,8,16,5,6,9,5,0,9,19,5,3,0,7,11,10,6,9,0,13,0,0,3,0,DNA
104,22,0,12,28,26,17,24,13,12,0,23,36,9,23,0,42,24,22,42,17,0,16,10,0,18,0,DNA
105,23,0,12,17,38,13,20,7,19,0,18,39,11,18,0,16,9,21,28,20,0,18,5,0,10,0,DNA
106,37,0,9,25,19,8,22,8,7,0,9,27,5,9,0,37,9,25,31,13,0,8,1,0,9,0,DNA
107,21,0,3,19,49,23,19,7,32,0,53,43,5,17,0,4,9,25,16,13,0,26,1,0,14,0,DNA
108,11,0,0,5,7,1,4,1,10,0,7,5,2,0,0,2,0,8,2,2,0,2,0,0,0,0,DNA
109,20,0,1,10,24,11,16,9,25,0,15,37,8,12,0,18,14,18,19,15,0,18,1,0,13,0,DNA
110,5,0,1,7,14,2,7,3,5,0,15,30,6,4,0,4,9,5,9,11,0,3,1,0,6,0,DNA
111,31,0,6,22,23,8,9,10,28,0,26,28,8,23,0,22,30,24,38,17,0,17,2,0,4,0,DNA
112,33,0,7,9,14,8,26,5,6,0,16,19,4,8,0,33,13,16,22,14,0,12,4,0,15,0,DNA
113,64,0,23,55,82,33,56,26,53,0,58,142,23,38,0,51,39,73,93,48,0,71,10,0,24,0,DNA
114,74,0,20,55,86,36,66,47,45,0,107,111,19,46,0,97,58,54,130,48,0,49,6,0,34,0,DNA
115,31,0,7,20,27,21,26,13,24,0,28,27,13,17,0,28,23,22,36,19,0,25,5,0,14,0,DNA
116,34,0,1,14,11,6,21,14,11,0,9,16,9,5,0,19,31,11,12,17,0,10,3,0,11,0,DNA
117,8,0,0,3,3,3,4,1,5,0,8,3,2,3,0,2,3,3,3,6,0,3,0,0,3,0,DNA
118,23,0,18,23,39,19,36,14,25,0,22,52,16,18,0,32,25,30,45,17,0,17,4,0,20,0,DNA
119,49,0,4,15,21,10,42,14,8,0,15,27,6,9,0,54,16,21,19,9,0,11,0,0,8,0,DNA
120,79,0,12,47,63,22,93,29,22,0,38,105,17,19,0,70,43,52,66,47,0,50,2,0,24,0,DNA
121,1,0,0,4,8,4,3,1,8,0,9,11,4,3,0,0,1,4,8,3,0,5,0,0,2,0,DNA
122,68,0,8,34,65,26,51,16,31,0,32,68,10,20,0,30,21,46,30,35,0,67,4,0,9,0,DNA
123,24,0,2,13,25,19,14,5,21,0,45,30,10,16,0,12,19,15,17,24,0,27,0,0,5,0,DNA
124,29,0,11,47,44,18,32,16,56,0,39,53,11,36,0,40,34,22,75,48,0,38,2,0,21,0,DNA
125,7,0,2,7,11,0,7,3,16,0,9,20,1,4,0,5,10,11,10,10,0,7,2,0,1,0,DNA
126,13,0,1,12,16,7,15,2,27,0,16,16,4,8,0,5,9,15,12,16,0,14,0,0,12,0,DNA
127,47,0,27,34,55,34,65,20,42,0,52,73,25,52,0,75,48,37,149,49,0,63,6,0,31,0,DNA
128,62,0,2,10,22,9,33,3,6,0,18,38,4,6,0,41,15,14,29,16,0,14,0,0,5,0,DNA
129,26,0,12,13,12,10,36,31,7,0,21,35,12,17,0,48,12,22,61,32,0,17,5,0,14,0,DNA
130,4,0,3,7,11,4,19,9,13,0,22,11,2,10,0,4,8,7,8,10,0,12,2,0,8,0,DNA
131,14,0,2,22,14,9,9,7,22,0,20,25,9,17,0,7,11,12,10,10,0,20,1,0,6,0,DNA
132,5,0,0,6,4,2,5,0,1,0,7,12,6,8,0,2,10,6,4,6,0,10,0,0,4,0,DNA
133,43,0,11,18,27,26,43,15,30,0,24,37,19,40,0,41,28,31,60,37,0,43,3,0,15,0,DNA
134,27,0,2,26,46,26,49,12,54,0,57,53,11,32,0,17,18,27,33,30,0,34,8,0,21,0,DNA
135,65,0,31,39,63,24,117,40,17,0,33,89,21,35,0,149,48,66,128,58,0,44,5,0,34,0,DNA
136,5,0,9,8,2,10,3,4,5,0,17,14,3,6,0,7,4,5,5,10,0,8,1,0,2,0,DNA
137,52,0,7,10,17,10,20,1,5,0,15,28,2,11,0,41,17,25,21,10,0,15,2,0,15,0,DNA
138,96,0,20,63,107,35,108,27,100,0,122,110,29,58,0,77,95,69,59,88,0,96,37,0,39,0,DNA
139,18,0,8,29,33,25,23,16,36,0,36,60,8,27,0,27,36,26,50,35,0,31,12,0,19,0,DNA
140,27,0,10,36,35,27,21,14,35,0,39,52,17,16,0,25,24,19,39,26,0,24,1,0,18,0,DNA
141,25,0,6,38,41,21,26,13,28,0,20,39,12,29,0,32,55,46,87,49,0,29,4,0,23,0,DNA
142,18,0,2,10,23,13,18,6,16,0,20,29,5,11,0,9,3,15,13,5,0,18,0,0,4,0,DNA
143,48,0,20,56,53,32,45,16,43,0,74,72,10,42,0,47,35,45,98,41,0,45,5,0,19,0,DNA
144,19,0,3,20,36,9,11,3,4,0,43,4,6,4,0,13,2,8,11,5,0,5,2,0,7,0,DNA
145,6,0,0,2,9,1,5,1,10,0,12,9,1,2,0,2,6,3,3,6,0,8,1,0,6,0,DNA
146,14,0,1,12,14,7,12,6,11,0,20,26,7,8,0,2,12,8,4,8,0,15,1,0,7,0,DNA
147,17,0,3,13,14,11,10,4,17,0,21,18,4,16,0,22,5,17,19,15,0,12,8,0,3,0,DNA
148,10,0,1,12,17,11,16,5,11,0,17,19,2,12,0,9,7,9,8,9,0,12,6,0,9,0,DNA
149,44,0,31,29,48,8,66,15,6,0,32,89,12,11,0,87,17,76,58,24,0,28,12,0,1,0,DNA
150,31,0,8,12,18,10,39,3,9,0,12,36,4,6,0,62,12,31,34,19,0,8,3,0,8,0,DNA
151,25,0,3,22,22,10,34,8,17,0,21,40,19,29,0,58,35,24,67,34,0,26,2,0,11,0,DNA
152,33,0,4,21,25,7,23,10,29,0,25,32,8,9,0,11,8,34,28,21,0,10,4,0,14,0,DNA
153,26,0,1,18,20,5,12,13,11,0,20,22,5,19,0,23,10,18,40,22,0,21,2,0,4,0,DNA
154,26,0,5,16,26,8,21,9,15,0,19,34,8,5,0,27,16,17,37,10,0,15,11,0,10,0,DNA
155,30,0,7,11,14,7,21,8,9,0,9,45,3,7,0,33,16,18,29,26,0,12,3,0,6,0,DNA
156,25,0,14,31,50,24,31,12,22,0,61,50,8,25,0,27,17,35,61,34,0,30,10,0,13,0,DNA
157,52,0,7,22,20,20,30,11,6,0,22,24,12,14,0,44,11,23,22,20,0,23,4,0,11,0,DNA
158,51,0,3,12,10,6,23,16,6,0,14,24,17,9,0,56,14,18,38,23,0,17,2,0,17,0,DNA
159,22,0,13,3,10,7,16,6,7,0,14,14,5,10,0,16,5,12,21,8,0,8,1,0,0,0,DNA
160,15,0,3,11,14,13,15,9,13,0,11,12,2,10,0,10,4,16,18,10,0,12,4,0,12,0,DNA
161,15,0,0,11,20,13,6,10,26,0,21,24,5,10,0,12,16,8,9,8,0,8,8,0,7,0,DNA
162,21,0,1,16,24,11,11,8,10,0,12,28,4,6,0,13,13,22,19,15,0,19,3,0,13,0,DNA
163,24,0,1,7,19,8,16,3,12,0,12,23,6,4,0,11,8,11,8,9,0,17,0,0,4,0,DNA
164,17,0,1,9,9,5,19,5,11,0,4,18,2,5,0,10,5,11,7,12,0,7,2,0,6,0,DNA
165,50,0,4,40,86,29,49,11,64,0,81,64,10,17,0,38,14,50,28,26,0,55,10,0,45,0,DNA
166,54,0,5,47,78,32,53,12,53,0,77,63,10,15,0,35,13,58,22,34,0,59,10,0,45,0,DNA
167,44,0,4,38,88,27,50,14,71,0,82,67,10,19,0,36,15,45,25,31,0,52,11,0,46,0,DNA
168,13,0,1,18,8,11,14,5,20,0,13,21,7,9,0,5,7,11,15,14,0,12,0,0,8,0,DNA
169,153,0,234,157,182,88,206,69,95,0,108,228,56,98,0,176,133,142,207,152,0,225,26,0,78,0,DNA
170,30,0,5,26,22,12,26,18,15,0,24,36,17,22,0,53,23,23,46,34,0,21,9,0,24,0,DNA
171,37,0,5,15,20,9,15,9,8,0,10,70,5,17,0,13,29,23,14,16,0,16,7,0,5,0,DNA
172,12,0,1,11,12,11,9,6,17,0,21,9,3,11,0,10,12,9,17,10,0,9,1,0,15,0,DNA
173,26,0,1,19,24,10,19,3,39,0,39,34,7,25,0,15,7,18,13,12,0,28,0,0,15,0,DNA
174,60,0,10,40,63,25,60,24,36,0,52,61,14,22,0,30,25,38,25,32,0,44,18,0,25,0,DNA
175,33,0,8,13,15,14,20,4,7,0,16,23,5,13,0,14,10,18,18,13,0,11,5,0,8,0,DNA
176,9,0,4,3,12,6,9,5,8,0,13,9,4,5,0,6,4,7,8,5,0,11,0,0,3,0,DNA
177,14,0,1,20,21,3,13,6,16,0,7,22,7,5,0,8,7,21,11,17,0,24,1,0,2,0,DNA
178,15,0,1,14,28,12,8,4,27,0,23,24,8,8,0,12,12,12,20,16,0,12,0,0,22,0,DNA
179,19,0,0,24,51,23,34,10,36,0,41,39,5,12,0,18,7,25,19,12,0,25,6,0,20,0,DNA
180,41,0,5,22,29,10,17,16,16,0,29,38,10,17,0,51,34,23,63,41,0,39,2,0,2,0,DNA
181,2,0,0,1,6,2,4,0,2,0,5,3,4,3,0,2,2,6,4,0,0,5,1,0,1,0,DNA
182,26,0,7,42,36,30,41,10,45,0,65,44,16,17,0,22,13,20,24,36,0,32,11,0,38,0,DNA
183,21,0,0,22,21,22,13,5,35,0,36,25,11,28,0,12,10,13,22,14,0,22,5,0,14,0,DNA
184,8,0,0,19,13,10,9,5,20,0,18,17,5,15,0,10,7,11,12,18,0,15,2,0,9,0,DNA
185,7,0,1,13,16,10,16,6,17,0,23,29,6,17,0,8,8,12,13,13,0,14,2,0,7,0,DNA
186,2,0,0,4,14,4,4,5,11,0,14,13,4,11,0,3,4,4,11,7,0,7,2,0,4,0,DNA
187,3,0,0,0,6,0,2,0,2,0,7,6,4,2,0,0,1,2,5,2,0,2,0,0,1,0,DNA
188,60,0,9,38,27,17,45,19,15,0,38,53,14,40,0,42,27,27,78,41,0,36,1,0,16,0,DNA
189,22,0,3,40,48,17,16,10,31,0,36,55,9,32,0,30,34,18,60,25,0,37,3,0,10,0,DNA
190,36,0,8,17,13,10,23,10,8,0,7,27,5,10,0,40,6,33,27,20,0,22,7,0,5,0,DNA
191,33,0,3,18,25,8,18,4,16,0,19,35,5,10,0,15,12,25,28,21,0,22,1,0,5,0,DNA
192,66,0,23,32,42,18,89,22,42,0,33,77,31,42,0,51,67,35,87,50,0,46,4,0,21,0,DNA
193,13,0,1,4,14,11,11,0,5,0,12,13,3,2,0,7,3,10,5,4,0,12,2,0,4,0,DNA
194,13,0,1,6,21,4,13,3,11,0,20,18,9,8,0,9,13,4,15,9,0,13,2,0,4,0,DNA
195,17,0,2,13,21,11,15,15,15,0,24,43,7,6,0,12,17,25,17,21,0,19,4,0,16,0,DNA
196,35,0,13,26,30,21,40,19,29,0,28,43,20,35,0,36,67,24,43,27,0,32,7,0,19,0,DNA
197,6,0,0,13,17,5,7,0,12,0,23,20,5,11,0,4,13,6,14,8,0,10,1,0,5,0,DNA
198,19,0,2,7,14,5,6,5,11,0,14,15,7,5,0,8,7,10,13,14,0,12,1,0,6,0,DNA
199,43,0,8,26,62,19,37,14,36,0,44,76,15,28,0,93,36,46,92,36,0,33,10,0,9,0,DNA
200,15,0,5,14,10,6,16,4,6,0,8,26,7,3,0,7,10,14,17,7,0,8,3,0,8,0,DNA
201,13,0,0,8,15,2,3,6,7,0,15,15,5,7,0,1,11,13,7,6,0,10,4,0,3,0,DNA
202,21,0,3,24,23,10,13,8,22,0,15,21,9,6,0,5,14,19,11,12,0,7,1,0,13,0,DNA
203,122,0,12,83,108,37,100,23,72,0,71,124,30,41,0,60,51,106,56,71,0,106,10,0,34,0,DNA
204,30,0,3,8,18,10,40,6,7,0,15,30,10,13,0,48,11,11,35,18,0,13,4,0,20,0,DNA
205,16,0,2,11,11,5,16,4,12,0,13,23,6,7,0,6,7,21,9,10,0,9,2,0,3,0,DNA
206,26,0,1,30,27,8,27,7,22,0,15,35,3,11,0,19,8,18,25,25,0,33,1,0,9,0,DNA
207,7,0,8,13,12,7,15,4,16,0,23,12,3,14,0,6,2,10,9,10,0,13,2,0,4,0,DNA
208,7,0,4,8,13,6,12,5,3,0,19,21,5,12,0,3,10,6,7,5,0,4,1,0,6,0,DNA
209,32,0,5,19,33,18,26,19,28,0,19,45,5,15,0,16,12,24,26,18,0,26,5,0,13,0,DNA
210,23,0,2,18,28,11,22,11,29,0,29,36,14,16,0,16,15,12,29,19,0,19,1,0,12,0,DNA
211,21,0,0,8,17,5,20,5,9,0,8,11,1,3,0,15,12,19,9,5,0,11,3,0,6,0,DNA
212,12,0,0,13,24,15,8,2,9,0,24,24,8,5,0,2,4,12,7,8,0,13,2,0,8,0,DNA
213,30,0,3,27,33,10,20,12,19,0,18,29,10,23,0,20,22,32,50,27,0,18,5,0,12,0,DNA
214,23,0,1,12,14,6,21,8,12,0,8,28,8,3,0,6,12,20,12,14,0,17,1,0,6,0,DNA
215,9,0,3,5,9,2,3,2,9,0,8,14,3,3,0,4,5,5,9,7,0,5,3,0,4,0,DNA
216,36,0,8,20,31,15,19,5,8,0,14,34,8,10,0,34,10,19,56,25,0,18,2,0,8,0,DNA
217,14,0,1,9,6,5,12,4,10,0,13,13,4,6,0,3,4,7,15,13,0,7,4,0,7,0,DNA
218,104,0,15,96,123,63,88,46,91,0,93,135,37,45,0,71,41,79,72,78,0,109,10,0,48,0,DNA
219,25,0,14,26,19,14,34,11,14,0,23,28,11,11,0,20,26,23,37,19,0,20,4,0,11,0,DNA
220,70,0,16,35,51,22,65,29,41,0,34,67,15,30,0,119,57,49,93,47,0,52,4,0,29,0,DNA
221,16,0,1,10,15,2,9,4,5,0,6,20,4,2,0,8,8,20,7,7,0,10,4,0,5,0,DNA
222,29,0,16,35,37,23,30,19,38,0,25,46,24,29,0,60,51,38,71,51,0,29,6,0,23,0,DNA
223,67,0,2,44,64,26,39,14,51,0,37,76,18,29,0,25,33,56,36,32,0,43,7,0,25,0,DNA
224,15,0,1,8,20,7,15,7,21,0,12,23,9,10,0,13,14,15,21,14,0,7,0,0,11,0,DNA
225,10,0,4,7,13,3,8,5,7,0,5,15,3,8,0,5,7,11,8,7,0,6,0,0,3,0,DNA
226,14,0,0,3,10,4,6,0,3,0,11,5,2,3,0,5,1,6,6,6,0,9,0,0,0,0,DNA
227,8,0,2,13,9,2,8,3,13,0,12,16,8,8,0,5,6,7,7,10,0,8,1,0,3,0,DNA
228,32,0,6,13,31,5,15,2,20,0,23,31,5,7,0,10,5,35,17,10,0,21,2,0,10,0,DNA
229,14,0,0,5,7,4,7,0,5,0,12,5,1,5,0,3,4,4,4,3,0,7,0,0,0,0,DNA
230,36,0,2,22,31,11,30,21,13,0,25,25,11,16,0,70,45,21,51,34,0,21,5,0,19,0,DNA
231,11,0,0,18,16,12,15,7,16,0,19,24,6,21,0,4,11,15,13,9,0,18,7,0,5,0,DNA
232,29,0,3,15,19,9,16,7,22,0,10,32,3,22,0,10,10,20,20,14,0,15,2,0,8,0,DNA
233,65,0,7,47,58,32,51,29,72,0,98,125,17,56,0,88,68,37,68,81,0,74,22,0,48,0,DNA
234,12,0,4,17,28,23,14,4,36,0,52,32,7,44,0,10,12,10,31,18,0,18,4,0,19,0,DNA
235,56,0,6,14,13,6,65,13,13,0,15,20,9,24,0,13,22,19,28,23,0,10,5,0,15,0,DNA
236,21,0,14,16,28,18,27,23,14,0,24,36,11,26,0,46,21,18,47,20,0,31,8,0,16,0,DNA
237,34,0,8,14,19,11,23,13,10,0,12,38,5,5,0,23,25,27,26,14,0,19,10,0,9,0,DNA
238,44,0,22,33,24,33,48,9,16,0,27,65,6,9,0,60,26,30,69,35,0,23,4,0,14,0,DNA
